Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
M,CR + A,,,,T,25,1311,1410,12.1,,,,,other,WROUGHT,8.6,,
M,CR + A,,,,T,25,1212,1360,14.9,,,,,other,WROUGHT,8.6,,
M,CR + A,,,,T,25,1028,1249,18.3,,,,,other,WROUGHT,8.6,,
M,CR + A,,,,T,25,879,1194,25.4,,,,,other,WROUGHT,8.6,,
M,CR + A,,,,T,25,799,1127,28.2,,,,,other,WROUGHT,8.6,,
S,CR + A,,,,T,25,350,918,62.4,,,,,FCC,WROUGHT,8.6,234,234
S,AC,,,,T,25,155,472.4,58.9,,,,,FCC,CAST,8.2,226,226
,AC,,,,T,25,198.8,479,51.1,,,,,other,CAST,8.2,,
,AC,,,,T,25,254.7,589.6,55.1,,,,,other,CAST,8.3,,
M,AC,,,,T,25,305.3,709.7,49.3,,,,,other,CAST,8.4,,
M,CR + A,3,,,T,25,815.5,1186.5,18.9,,,,,other,WROUGHT,8.4,,
M,CR + A,3.1,,,T,25,646.7,1042,32.5,,,,,other,WROUGHT,8.4,,
M,CR + A,1.6,,,T,25,683.7,1066.6,30.4,,,,,other,WROUGHT,8.4,,
,HF+A,13,,,T,25,243,558,50,,,,,FCC,WROUGHT,8,220,220
,HF+A,8,,,T,25,446,723,15,,,,,other,WROUGHT,8,,
,HF+CR+A,7,,,T,25,249,621,41,,,,,FCC,WROUGHT,8,220,220
,HF+CR+A,4,,,T,25,581,857,28,,,,,other,WROUGHT,8,,
S,A,,,,T,25,190,453,70,,,,,FCC,ANNEAL,8.2,226,226
S,A,289.7,,,T,25,210,503,70,,,,,FCC,ANNEAL,7.8,214,214
M,CR + A,15.7,,,T,25,645,1094,39,,,,,other,WROUGHT,7.8,,
M,CR + A,2.8,,,T,25,1005,1273,17,,,,,other,WROUGHT,7.8,,
,A,,,168,,,,,,,,,,other,ANNEAL,7.7,,
,A,,,328,,,,,,,,,,other,ANNEAL,7.7,,
,A,,,206,,,,,,,,,,other,ANNEAL,7.7,,
,AC,,,231,,,,,,,,,,other,CAST,7.7,,
,A,,,178,,,,,,,,,,other,ANNEAL,7.7,,
,A,,,343,,,,,,,,,,other,ANNEAL,7.7,,
,A,,,171,,,,,,,,,,other,ANNEAL,7.7,,
,AC,,,343,,,,,,,,,,other,CAST,7.4,,
,A,,,341,,,,,,,,,,other,ANNEAL,7.4,,
M,A,,,345,T,25,568,786,12,,,,,other,ANNEAL,7.4,,
M,A,,,345,T,25,596,1039,20,,,,,other,ANNEAL,7.4,,
M,A,,,345,T,700,487,702,18,,,,,other,ANNEAL,7.4,,
M,A,,,345,T,700,486,624,11,,,,,other,ANNEAL,7.4,,
M,AC,,,,C,25,770,,37.1,,,,,other,CAST,6.4,,
M,AC,,,,C,25,843.2,,34.6,,,,,other,CAST,6.3,,
M,AC,,,,C,25,1044,,27.1,,,,,other,CAST,6.1,,
M,AC,,,,C,25,906.8,,31.4,,,,,other,CAST,6,,
M,AC,,,,C,25,1122.8,,24.7,,,,,other,CAST,5.9,,
M,AC,,,,C,25,,,17,,,,,other,CAST,6.9,,
M,AC,,,,C,25,,,22.7,,,,,other,CAST,6.7,,
M,AC,,,,C,25,,,16.3,,,,,other,CAST,6.4,,
M,A,,,,C,25,,,19.8,,,,,other,ANNEAL,6.4,,
M,AC,,,,C,25,,,7.3,,,,,other,CAST,10.9,,
M,AC,,,,C,25,,,30,,,,,other,CAST,7.1,,
S,A,,,,C,25,230,,75,,,,,FCC,ANNEAL,8,220,220
M,A,,,,C,25,200,,75,,,,,other,ANNEAL,7.9,,
M,A,,,,C,25,620,,75,,,,,other,ANNEAL,7.8,,
M,A,,,,C,25,780,,8,,,,,other,ANNEAL,7.7,,
M,A,,,,C,25,1700,,1,,,,,other,ANNEAL,7.7,,
S,AC,,,,C,25,,,25,,,,,FCC,CAST,7.6,210,210
S,AC,,,,C,25,,,83,,,,,FCC,CAST,8.2,226,226
M,AC,,,,T,25,545,1030,16.5,,,,,other,CAST,7,,
M,AC,,,,T,25,545,1050,16.5,,,,,other,CAST,7.1,,
M,AC,,,,T,25,545,1110,20,,,,,other,CAST,7.1,,
S,CR + A,,,,T,25,719,1048,30,,,,,FCC,WROUGHT,8,209,209
M,CR + A,,,,T,25,460,732,32,,,,,other,WROUGHT,8,,
M,AC,,,,T,25,357,459,9,,,,,other,CAST,7.7,,
M,A,,,,T,25,365,365,0.1,,,,,other,ANNEAL,7.7,,
M,A,,,,T,25,215,489,39,,,,,other,ANNEAL,7.7,,
M,A + CR,,,,T,25,1284,1344,7.6,,,,,other,WROUGHT,7.6,,
S,CR,,,,T,25,1290,1400,5,,,,,FCC,WROUGHT,7.6,189,189
M,CR + A,,,,T,25,650,790,27,,,,,other,WROUGHT,7.6,,
M,AC,,,,T,25,790,790,0.2,,,,,other,CAST,7.1,,
M,HF,,,,T,25,1040,1170,1,,,,,other,WROUGHT,7.1,,
M,AC,,,,T,700,395,400,1,,,,,other,CAST,6.7,,
M,HIP + A,,,,T,700,295,393,12,,,,,other,OTHER,6.7,,
M,AC,,,,T,700,350,360,5,,,,,other,CAST,7.1,,
M,HF,,,,T,700,63,91,63,,,,,other,WROUGHT,7.1,,
S,CR,,,,T,700,180,185,5,,,,,FCC,WROUGHT,7.6,189,189
M,CR + A,,,,T,700,160,180,12,,,,,other,WROUGHT,7.6,,
S,CR + A,51,,,T,25,700,1240,36,,,,,FCC,WROUGHT,7.9,218,218
S,CR + A,,,,T,-196,860,1580,46,,,,,FCC,WROUGHT,7.9,218,218
S,CR,20,,,T,25,1198,,1.5,,,,,FCC,WROUGHT,8,220,220
S,CR + A,20,,,T,25,1403,,1.2,,,,,FCC,WROUGHT,8,220,220
S,CR + A,20,,,T,25,711,928,30.3,,,,,FCC,WROUGHT,8,220,220
S,CR + A,7,,,T,25,356,,42.4,,,,,FCC,WROUGHT,8,220,220
S,CR + A,0.5,,,T,25,1120,,1.1,,,,,FCC,WROUGHT,8,220,220
S,CR + A,,,,T,-196,1692,,10.3,,,,,FCC,WROUGHT,8,220,220
M,AC,,,,T,25,774,1357,6.4,,,,,other,CAST,6.7,,
M,AC,,,,T,25,610,1173,9.1,,,,,other,CAST,6.9,,
M,AC,,,,T,25,479,956,12.7,,,,,other,CAST,7,,
M,AC,,,,T,25,461,835,30,,,,,other,CAST,7.2,,
S,AC,,,,T,25,441,757,45,,,,,FCC,CAST,7.3,196,196
S,CR + A,1.6,,468,T,25,1100,,23,,,,,FCC,WROUGHT,8.3,231,231
S,CR + A,2.3,,326,T,25,597,,53,,,,,FCC,WROUGHT,8.3,231,231
S,CR + A,24,,223,T,25,346,,76,,,,,FCC,WROUGHT,8.3,231,231
M,CR + A,,,,T,25,1263,,21.4,,,,,other,WROUGHT,7.1,,
M,CR + A,,,,T,25,1154,,25,,,,,other,WROUGHT,7.1,,
M,CR + A,,,,T,25,1490,,16,,,,,other,WROUGHT,7.1,,
S,AC,,,130.2,C,25,210,,57,,,,,FCC,CAST,8,220,220
S,CR,,,394.1,C,25,1150,,6,,,,,FCC,WROUGHT,8,220,220
S,CR + A,,,430.7,C,25,1300,,0.7,,,,,FCC,WROUGHT,8,220,220
S,SPS,24,,427.9,C,25,1108,,28.3,,,,,BCC,POWDER,9.2,134,134
S,SPS,30,,444.3,C,25,1308,,27.9,,,,,BCC,POWDER,9.2,134,134
S,SPS,38,,510.9,C,25,1373,,29.5,,,,,BCC,POWDER,9.2,134,134
S,CR + A,30,,,T,25,300,676,52,,,,,FCC,WROUGHT,8,220,220
S,CR + A,0.65,,,T,25,800,888,39.5,,,,,FCC,WROUGHT,8,220,220
M,AC,0.4,,415,C,25,1314,,,20.3,,,,other,CAST,8,,
M,AC,,,432,C,25,1631,,,12.6,,,,other,CAST,7.9,,
M,AC,0.2,,511,C,25,1836,,,4.9,,,,other,CAST,7.6,,
M,AC,,,553,C,25,1932,,,3.8,,,,other,CAST,7.4,,
M,AC,0.2,,622,C,25,2230,,,1.69,,,,other,CAST,7.1,,
M,AC,,,684,C,25,,,,0,,,,other,CAST,6.8,,
S,A + HF,,,,T,20,446,664,63,,,189,,FCC,WROUGHT,8.2,226,226
S,A + HF,,,,T,-73,488,790,72,,,194,,FCC,WROUGHT,8.2,226,226
S,A + HF,,,,T,-196,590,1070,78,,,204,,FCC,WROUGHT,8.2,226,226
S,A + HF,,,,T,-223,,1152,68.6,,,,,FCC,WROUGHT,8.2,226,226
S,A + HF,,,,T,-253,,1240,62,,,,,FCC,WROUGHT,8.2,226,226
S,A + HF,,,,T,-268.8,680,1251,61.6,,,221,,FCC,WROUGHT,8.2,226,226
S,AC,,,94.7,,,,,,,,,,FCC,CAST,8.2,226,226
S,AC,,,117,,,,,,,,,,FCC,CAST,7.6,210,210
M,AC,,,228,,,,,,,,,,other,CAST,7.2,,
M,AC,,,511,,,,,,,,,,other,CAST,6.8,,
M,AC,,,623,,,,,,,,,,other,CAST,6.5,,
S,AC,,,,C,25,216,,,,,,,FCC,CAST,8,220,220
S,AC,,,,C,25,225,,,,,,,FCC,CAST,8.1,221,221
M,AC,,,,C,25,330,,,,,,,other,CAST,8.1,,
M,AC,,,,C,25,560,,,,,,,other,CAST,8.1,,
M,AC,,,,C,25,765,,,,,,,other,CAST,8.1,,
M,CR,,,,T,25,143,400,65,,,,,other,WROUGHT,7.6,,
M,CR + A,,,,T,25,471,850,45,,,,,other,WROUGHT,7.6,,
M,CR + A,,,,T,25,841,1050,35,,,,,other,WROUGHT,7.6,,
M,CR + A,,,,T,25,161,1650,7,,,,,other,WROUGHT,7.6,,
M,CR + A,,,,T,25,187,1850,5,,,,,other,WROUGHT,7.6,,
M,AC,,,1183,C,25,1750,,16.7,,,,,other,CAST,6.4,,
S,CR + A,7.9,,,T,25,378.7,700.1,54,,,,,FCC,WROUGHT,8,220,220
M,CR + A,4.7,,,T,25,520.9,791.4,40.3,,,,,FCC,WROUGHT,7.6,,
M,CR + A,3.5,,,T,25,643.8,887.6,31.9,,,,,FCC,WROUGHT,7.3,,
S,CR,,,,T,25,,,8,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,0.7,,,T,25,,,14,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,0.8,,,T,25,1100,1300,32,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,1.2,,,T,25,950,,36,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,3.2,,,T,25,649,,42,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,18.2,,,T,25,439,,63,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,94.1,,,T,25,309,,82,,,,,FCC,WROUGHT,8.6,231,231
S,CR + A,,,,T,25,386.2,666.3,57.5,,,,,FCC,WROUGHT,8,220,220
M,AC,,,,T,25,628,950,14.5,,,,,other,CAST,8.1,,
M,A,,,,T,25,545,690,5,,,,,other,ANNEAL,8.1,,
M,A,,,,T,25,534,682,5.2,,,,,other,ANNEAL,8.1,,
M,A,,,,T,25,525,680,4.3,,,,,other,ANNEAL,8.1,,
M,A,,,,T,25,517,677,4.6,,,,,other,ANNEAL,8.1,,
M,A,,,,T,25,502,671,4.9,,,,,other,ANNEAL,8.1,,
M,SPS,0.54,,1072,C,25,,,,,,,,other,POWDER,11.7,,
M,SPS,1.24,,1010,C,25,3416,,,5.3,,,,other,POWDER,11.7,,
M,SPS,5.01,,991.3,C,25,3410,,,2,,,,other,POWDER,11.7,,
M,SPS,10.8,,988.3,C,25,3338,,,1.9,,,,other,POWDER,11.7,,
,AC,,,704.6,C,25,,,,,,,,other,CAST,11.7,,
M,AC,,,160,,,,,,,,,,other,CAST,8.3,,
S,AC,,,160,,,,,,,,,,FCC,CAST,7.6,189,189
M,AC,,,458,,,,,,,,,,other,CAST,7.1,,
M,AC,,,498,,,,,,,,,,other,CAST,6.6,,
M,AC,,,560,,,,,,,,,,other,CAST,6.3,,
,CR+A,2,,,T,25,991,1359,38,,,,,other,WROUGHT,7.8,,
S,CR+A,5.6,,,T,25,767,1224,46,,,,,other,WROUGHT,7.8,,
,CR+A,18.7,,,T,25,602,1123,51,,,,,other,WROUGHT,7.8,,
,CR+A,27.8,,,T,25,517,1049,55,,,,,other,WROUGHT,7.8,,
,CR+A,122.2,,,T,25,461,886,58,,,,,other,WROUGHT,7.8,,
M,CR+A,,,,T,25,840,1039,32,,,,,other,WROUGHT,7.6,,
M,CR+A,,,,T,25,159,410,65,,,,,FCC,WROUGHT,7.6,210,210
M,AC,,,,C,25,1202,,32.6,,,,,other,CAST,7,,
S,CR+A,,,,,,,,,,,,,BCC,WROUGHT,9.9,107,107
S,CR+A,14.9,,,T,25,214,612,77.3,,,,,FCC,WROUGHT,8.2,219,219
S,CR+A,11.6,,,T,25,241,721,96.2,,,,,FCC,WROUGHT,8.3,220,220
S,CR+A,10.5,,,T,25,299,841,76.1,,,,,FCC,WROUGHT,8.3,222,222
M,CR+A,5.6,,,T,25,392,746,20.3,,,,,other,WROUGHT,8.3,,
M,CR+A,6.2,,,T,25,482,857,13.3,,,,,other,WROUGHT,8.4,,
S,CR+A,,,,,,,,,,,69.7,,BCC,WROUGHT,8.4,89,89
,,,,,,,,,,,,202,,other,,8,,202
,,,,,,,,,,,,202.2,,other,,8,,202.2
,,,,,,,,,,,,204,,other,,8.2,,204
,,,,,,,,,,,,174,,other,,8.5,,174
,,,,,,,,,,,,222,,other,,8.3,,222
,,,,,,,,,,,,229,,other,,8.3,,229
,,,,,,,,,,,,234,,other,,8.3,,234
,,,,699,,,,,,,,,,other,,5.7,,
,,,,728,,,,,,,,,,other,,5.1,,
,,,,604,,,,,,,,,,other,,5.6,,
,,,,790,,,,,,,,,,other,,5.6,,
,,,,806,,,,,,,,,,other,,5.3,,
,,,,811,,,,,,,,,,other,,5.1,,
,,,,855,,,,,,,,,,other,,5.3,,
,,,,802,,,,,,,,,,other,,5.4,,
,,,,799,,,,,,,,,,other,,5.1,,
,,,,857,,,,,,,,,,other,,5.3,,
,,,,855,,,,,,,,,,other,,5.1,,
,,,,816,,,,,,,,,,other,,5.3,,
,,,,811,,,,,,,,,,other,,5.1,,
,,,,790,,,,,,,,,,other,,5.2,,
,,,,855,,,,,,,,,,other,,5.2,,
,,,,856,,,,,,,,,,other,,5.2,,
,,,,859,,,,,,,,,,other,,5.1,,
,,,,875,,,,,,,,,,other,,5.3,,
,,,,865,,,,,,,,,,other,,5.3,,
,,,,868,,,,,,,,,,other,,5.3,,
,,,,863,,,,,,,,,,other,,5.3,,
,,,,843,,,,,,,,,,other,,5,,
,,,,794,,,,,,,,,,other,,5.3,,
,,,,783,,,,,,,,,,other,,5.2,,
,,,,797,,,,,,,,,,other,,5,,
,,,,805,,,,,,,,,,other,,5,,
,,,,699,,,,,,,,,,other,,6,,
,,,,749,,,,,,,,,,other,,5.1,,
,,,,828,,,,,,,,,,other,,5.3,,
,,,,849,,,,,,,,,,other,,5.1,,
M,,,,883,,,,,,,,,,other,,5.1,,
,,,,864,,,,,,,,,,other,,5.3,,
,,,,841,,,,,,,,,,other,,5.1,,
,,,,868,,,,,,,,,,other,,5.3,,
,,,,865,,,,,,,,,,other,,5.3,,
,,,,840,,,,,,,,,,other,,5.2,,
,,,,882,,,,,,,,,,other,,5.3,,
M,,,,883,,,,,,,,,,other,,5.3,,
,,,,828,,,,,,,,,,other,,5.3,,
,,,,848,,,,,,,,,,other,,5.2,,
,,,,878,,,,,,,,,,other,,5.1,,
,,,,782,,,,,,,,,,other,,5.3,,
S,CR+A,,,,T,25,1290,1415,1.1,,,,,BCC,WROUGHT,8,220,
M,CR+A,1.3,,,T,25,1135,1260,1.8,,,,,other,WROUGHT,8,,
M,CR+A,2,,,T,25,585,815,31.7,,,,,other,WROUGHT,8,,
M,CR+A,3.6,,,T,25,425,735,40.2,,,,,other,WROUGHT,8,,
S,CR+A,17.1,,,T,25,270,630,46.2,,,,,FCC,WROUGHT,8,220,
,CR,0.07,,,T,25,1120,1175,1.5,,,,,other,WROUGHT,8,,
S,HIP+A,,,,C,23,1841,,,,,,9.08,BCC,OTHER,9.1,107,
S,A,,,,C,23,1100,,,,,,5.98,BCC,ANNEAL,6,189,
S,A,,,,C,23,1100,,,,,,6.46,BCC,ANNEAL,6.5,151,
S,AC,,,,C,23,1260,,,,,,8.96,BCC,CAST,9,126,
S,AC,,,,C,23,1512,,,,,,9.93,BCC,CAST,9.9,137,
S,AC,,,,C,23,1575,,,,,,8.68,BCC,CAST,8.7,128,
S,AC,,,,C,23,1600,,,,,,10.18,BCC,CAST,10.2,143,
S,HIP+A,,,,C,23,929,,,,,,9.89,BCC,OTHER,9.9,107,
S,AC,,,,C,23,1515,,,,,,10.91,BCC,CAST,11,209,
S,AC,,,,C,23,1343,,,,,,11.72,BCC,CAST,11.8,222,
S,HIP+A,,,,C,23,1246,,,,,,12.29,BCC,OTHER,12.4,229,
S,HIP+A,,,,C,23,996,,,,,,13.6,BCC,OTHER,13.7,250,
S,HIP+A,,,,C,23,1100,,,,,,7.67,BCC,OTHER,7.7,177,
S,HIP+A,,,,C,23,882,,,,,,7.81,BCC,OTHER,7.4,101,
S,HIP+A,,,,C,23,975,,,,,,6.63,BCC,OTHER,6.5,94,
M,A,,,,C,23,1010,,,,,,6.56,other,ANNEAL,6.6,,
M,HIP+A,,,,C,23,1240,,,,,,6.34,other,OTHER,6.3,,
M,HIP+A,,,,C,23,2000,,,,,,7.14,other,OTHER,7.1,,
M,HIP+A,,,,C,23,1576,,,,,,6.56,other,OTHER,6.8,,
M,HIP+A,,,,C,23,1595,,,,,,7.98,other,OTHER,8,,
M,AC,,,,C,23,1617,,,,,,8.46,other,CAST,8.5,,
M,AC,,,,C,23,1787,,,,,,8.16,other,CAST,8.2,,
M,AC,,,,C,23,2134,,,,,,7.89,other,CAST,7.9,,
M,HIP+A,,,,C,23,1706,,,,,,7.27,other,OTHER,7.1,,
M,HIP+A,,,,C,23,1244,,,,,,7.81,other,OTHER,7.5,,
M,HIP+A,,,,C,23,1395,,,,,,8.43,other,OTHER,8.5,,
S,HIP+A,,,,C,1000,298,,,,,,9.08,BCC,OTHER,9.1,107,
S,A,,,,C,1000,375,,,,,,5.98,BCC,ANNEAL,6,189,
S,A,,,,C,1000,540,,,,,,6.46,BCC,ANNEAL,6.5,151,
S,AC,,,,C,1000,368,,,,,,8.96,BCC,CAST,9,126,
S,AC,,,,C,1000,814,,,,,,9.93,BCC,CAST,9.9,137,
S,AC,,,,C,1000,635,,,,,,8.68,BCC,CAST,8.7,128,
S,AC,,,,C,1000,855,,,,,,10.18,BCC,CAST,10.2,143,
S,HIP+A,,,,C,1000,295,,,,,,9.89,BCC,OTHER,9.9,107,
S,AC,,,,C,1000,753,,,,,,10.91,BCC,CAST,11,209,
S,AC,,,,C,1000,620,,,,,,11.72,BCC,CAST,11.8,222,
S,HIP+A,,,,C,1000,842,,,,,,12.29,BCC,OTHER,12.4,229,
S,HIP+A,,,,C,1000,548,,,,,,13.6,BCC,OTHER,13.7,250,
S,HIP+A,,,,C,1000,504,,,,,,7.67,BCC,OTHER,7.7,177,
S,HIP+A,,,,C,1000,274,,,,,,7.81,BCC,OTHER,7.4,101,
S,HIP+A,,,,C,1000,141,,,,,,6.63,BCC,OTHER,6.5,94,
M,A,,,,C,1000,550,,,,,,6.56,other,ANNEAL,6.6,,
M,HIP+A,,,,C,1000,82,,,,,,6.34,other,OTHER,6.3,,
M,HIP+A,,,,C,1000,745,,,,,,7.14,other,OTHER,7.1,,
M,HIP+A,,,,C,1000,139,,,,,,6.56,other,OTHER,6.8,,
M,HIP+A,,,,C,1000,546,,,,,,7.98,other,OTHER,8,,
M,AC,,,,C,1000,398,,,,,,8.46,other,CAST,8.5,,
M,AC,,,,C,1000,614,,,,,,8.16,other,CAST,8.2,,
M,AC,,,,C,1000,673,,,,,,7.89,other,CAST,7.9,,
M,HIP+A,,,,C,1000,467,,,,,,7.27,other,OTHER,7.1,,
M,HIP+A,,,,C,1000,323,,,,,,7.81,other,OTHER,7.5,,
M,HIP+A,,,,C,1000,190,,,,,,8.43,other,OTHER,8.5,,
S,HIP+A,,,,C,1200,89,,,,,,9.08,BCC,OTHER,9.1,107,107
S,A,,,,C,1200,100,,,,,,5.98,BCC,ANNEAL,6,189,189
S,A,,,,C,1200,200,,,,,,6.46,BCC,ANNEAL,6.5,151,151
S,AC,,,,C,1200,60,,,,,,8.96,BCC,CAST,9,126,126
S,AC,,,,C,1200,556,,,,,,9.93,BCC,CAST,9.9,137,137
S,AC,,,,C,1200,187,,,,,,8.68,BCC,CAST,8.7,128,128
S,AC,,,,C,1200,404,,,,,,10.18,BCC,CAST,10.2,143,143
S,HIP+A,,,,C,1200,92,,,,,,9.89,BCC,OTHER,9.9,107,107
S,AC,,,,C,1200,659,,,,,,10.91,BCC,CAST,11,209,209
S,AC,,,,C,1200,586,,,,,,11.72,BCC,CAST,11.8,222,222
S,HIP+A,,,,C,1200,735,,,,,,12.29,BCC,OTHER,12.4,229,229
S,HIP+A,,,,C,1200,506,,,,,,13.6,BCC,OTHER,13.7,250,250
S,HIP+A,,,,C,1200,324,,,,,,7.67,BCC,OTHER,7.7,177,177
S,HIP+A,,,,C,1200,102,,,,,,7.81,BCC,OTHER,7.4,101,101
S,HIP+A,,,,C,1200,61,,,,,,6.63,BCC,OTHER,6.5,94,94
M,A,,,,C,1200,105,,,,,,6.56,other,ANNEAL,6.6,,
M,HIP+A,,,,C,1200,24,,,,,,6.34,other,OTHER,6.3,,
M,HIP+A,,,,C,1200,250,,,,,,7.14,other,OTHER,7.1,,
M,HIP+A,,,,C,1200,32,,,,,,6.56,other,OTHER,6.8,,
M,HIP+A,,,,C,1200,170,,,,,,7.98,other,OTHER,8,,
M,AC,,,,C,1200,166,,,,,,8.46,other,CAST,8.5,,
M,AC,,,,C,1200,188,,,,,,8.16,other,CAST,8.2,,
M,AC,,,,C,1200,235,,,,,,7.89,other,CAST,7.9,,
M,HIP+A,,,,C,1200,116,,,,,,7.27,other,OTHER,7.1,,
M,HIP+A,,,,C,1200,89,,,,,,7.81,other,OTHER,7.5,,
M,HIP+A,,,,C,1200,78,,,,,,8.43,other,OTHER,8.5,,
S,HR + A,245.48,,,T,25,293.1,625.6,63,,,,7.753,FCC,WROUGHT,8,220,220
S,CR+A,40,,,T,25,985,1004,15.7,,,,,BCC,WROUGHT,9.9,107,107
S,CR+A,87,,,T,25,972,999.5,12.6,,,,,BCC,WROUGHT,9.9,107,107
S,CR+A,112,,,T,25,967,980.6,10.8,,,,,BCC,WROUGHT,9.9,107,107
S,CR,,,,T,25,,,15,,,,,FCC,WROUGHT,8.5,207,207
S,CR+A,42,,,T,25,276,540,51,,,,,FCC,WROUGHT,8.5,207,207
S,CR+A,74,,,T,25,217,498,47,,,,,FCC,WROUGHT,8.5,207,207
S,CR+A,90,,,T,25,201,430,44.5,,,,,FCC,WROUGHT,8.5,207,207
,A,16,,,T,-196,600,1247,68,,,,,other,ANNEAL,8.3,,
,A,16,,,T,24,400,800,60,,,,,other,ANNEAL,8.3,,
,A,16,,,T,-196,1215,1440,48,,,,,other,ANNEAL,8.3,,
M,SPS,0.075,,741,C,25,2680,,,,,,8.02,other,POWDER,8,,
S,AC,,,,C,25,1719,,,,,,8.68,BCC,CAST,8.7,128,128
S,CR + A,53.7,,,T,25,,,,,,161,,FCC,WROUGHT,8.5,207,207
S,CR + A,7.28,,,T,25,,,,,,219,,FCC,WROUGHT,8.8,207,207
S,CR + A,0.862,,,T,25,529,613,25,,,182,,FCC,WROUGHT,8.1,203,203
S,CR + A,0.894,,,T,25,522,601,25,,,182,,FCC,WROUGHT,8.1,203,203
S,CR + A,1.25,,,T,25,460,599,27,,,182,,FCC,WROUGHT,8.1,203,203
S,CR + A,1.75,,,T,25,407,536,26,,,182,,FCC,WROUGHT,8.1,203,203
S,CR + A,2.26,,,T,25,372,542,31,,,182,,FCC,WROUGHT,8.1,203,203
S,CR + A,3.52,,,T,25,322,554,49,,,182,,FCC,WROUGHT,8.1,203,203
S,CR + A,1.43,,,T,25,333,569,40,,,190,,FCC,WROUGHT,8.4,202,202
S,CR + A,0.4,,,T,25,601,608,24,,,190,,FCC,WROUGHT,8.4,202,202
S,CR + A,1.58,,,T,25,321,566,50.5,,,190,,FCC,WROUGHT,8.4,202,202
S,CR + A,2.67,,,T,25,267,506,62.5,,,190,,FCC,WROUGHT,8.4,202,202
S,CR + A,0.212,,,T,25,745,824,36,,,223,,FCC,WROUGHT,8.7,213,213
S,CR + A,0.34,,,T,25,623,746,53,,,223,,FCC,WROUGHT,8.7,213,213
S,CR + A,1.46,,,T,25,387,626,73,,,223,,FCC,WROUGHT,8.7,213,213
S,CR + A,2.65,,,T,25,330,553,101,,,223,,FCC,WROUGHT,8.7,213,213
S,CR + A,0.295,,,T,25,631,732,39,,,210,,FCC,WROUGHT,8.2,226,226
S,CR + A,0.553,,,T,25,494,732,51,,,210,,FCC,WROUGHT,8.2,226,226
S,CR + A,0.72,,,T,25,448,672,65,,,210,,FCC,WROUGHT,8.2,226,226
S,CR + A,3.4,,,T,25,273,567,85,,,210,,FCC,WROUGHT,8.2,226,226
S,CR + A,32.2,,,T,25,172,504,105,,,210,,FCC,WROUGHT,8.2,226,226
S,CR + A,0.497,,,T,25,518,744,36,,,240,,FCC,WROUGHT,8.1,238,238
S,CR + A,0.848,,,T,25,462,703,46,,,240,,FCC,WROUGHT,8.1,238,238
S,CR + A,1.78,,,T,25,395,644,58,,,240,,FCC,WROUGHT,8.1,238,238
S,CR + A,1.98,,,T,25,356,588,64,,,240,,FCC,WROUGHT,8.1,238,238
M,SPS,,,672,C,25,,,,,,,,other,POWDER,5.7,,
M,SPS,,,666,C,25,,,,,,,,other,POWDER,5.5,,
M,SPS,,,667,C,25,,,,,,,,other,POWDER,6.1,,
M,SPS,,,434,,,,,,,,,,other,POWDER,6.8,,
M,SPS,,,666,,,,,,,,,,other,POWDER,6.8,,
M,SPS,,,761,,,,,,,,,,other,POWDER,6.8,,
M,SPS,,,747,,,,,,,,,,other,POWDER,6.8,,
M,SPS,,,,C,20,1511,,5,,,,,other,POWDER,6.8,,
M,SPS,,,,C,400,1366,,17,,,,,other,POWDER,6.8,,
M,SPS,,,,C,600,410,,35,,,,,other,POWDER,6.8,,
M,SPS,,,,C,800,48,,35,,,,,other,POWDER,6.8,,
S,AC,,,,T,25,210,,57,,,,,FCC,CAST,8,220,220
S,CR,,,,T,25,1150,,6,,,,,FCC,WROUGHT,8,220,220
S,CR + A,,,,T,25,1300,,2,,,,,FCC,WROUGHT,8,220,220
M,CR + A,4,,,T,25,1050,,8,,,,,FCC,WROUGHT,8,220,220
M,CR + A,8,,,T,25,560,,49,,,,,FCC,WROUGHT,8,220,220
S,CR + A,8,,,T,25,520,,47,,,,,FCC,WROUGHT,8,220,220
S,CR + A,10,,,T,25,320,,59,,,,,FCC,WROUGHT,8,220,220
S,CR + A,20,,,T,25,280,,62,,,,,FCC,WROUGHT,8,220,220
S,AC,,,,T,-196,419,,,34.6,,,,FCC,CAST,8.4,202,202
S,AC,,,,T,-70,350,,,28.8,,,,FCC,CAST,8.4,202,202
S,AC,,,,T,20,252,,,82.1,,,,FCC,CAST,8.4,202,202
S,AC,,,,T,600,214,,,189.2,,,,FCC,CAST,8.4,202,202
S,AC,,,,T,700,212,,,154.3,,,,FCC,CAST,8.4,202,202
S,AC,,,,T,800,187,,,119.5,,,,FCC,CAST,8.4,202,202
