Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
M,AC,,7.1,530,,25,,,,,200,,,other,CAST,7.1,,200
M,AC,,7,539,,25,,,,,199,,,other,CAST,7,,199
M,AC,,7,533,,25,,,,,197,,,other,CAST,7,,197
M,AC,,6.9,535,,25,,,,,196,,,other,CAST,6.9,,196
S,AC,,6.6,539,,25,,,,,190,,,BCC,CAST,6.6,180,190
S,AC,,8,176,T,25,208,,62,,219,,,FCC,CAST,8,220,219
S,AC,300,8,144,C,25,,,,,,,,FCC,CAST,8,220,
S,A,350,8,135,C,25,230,,,75,219,,,FCC,ANNEAL,8,220,219
S,AC,120,7.9,151,C,25,,,,,,,,FCC,CAST,7.9,215,
S,A,130,7.9,144,C,25,200,,,75,215,,,other,ANNEAL,7.9,,215
S,AC,220,7.8,186,C,25,,,,,,,,FCC,CAST,7.8,210,
S,A,250,7.8,275,C,25,620,,,75,211,,,FCC,ANNEAL,7.8,210,211
M,A,500,7.7,380,C,25,740,1325,,7.8,,,,other,ANNEAL,7.7,,
M,AC,500,7.7,342,C,25,,,,,,,,other,CAST,7.7,,
M,A,12,7.7,636,C,25,1660,1845,,0.5,,,,other,ANNEAL,7.7,,
M,AC,,7.7,650,C,25,,,,,,,,other,CAST,7.7,,
M,AC,,7.2,297,,25,,,,,213,,,other,CAST,7.2,,213
S,AC,,7,396,,25,,,,,206,,,BCC,CAST,7,201,206
M,AC,,6.3,472,C,25,1406,2927,,29,190,,,other,CAST,6.3,,190
M,AC,,7.2,905,,25,,,,,,,,other,CAST,7.2,,
M,AC,,6.5,549,C,25,1487,3222,,29,197,,,other,CAST,6.5,,197
M,AC,,6.8,622,C,25,1749,2644,,13,205,,,other,CAST,6.8,,205
M,AC,,7,854,C,25,1513,1513,,0,,,,other,CAST,7,,
S,,,7.7,180,,25,,,,,194,,,FCC,,7.7,194,194
S,,,7.4,207,,25,,,,,187,,,FCC,,7.4,187,187
M,,,7,271,,25,,,,,177,,,other,,7,,177
M,,,6.5,476,,25,,,,,165,,,other,,6.5,,165
M,,,6.3,510,,25,,,,,167,,,other,,6.3,,167
M,,,6,557,,25,,,,,155,,,other,,6.1,,155
M,,,5.9,567,,25,,,,,152,,,other,,5.9,,152
M,,,5.7,603,,25,,,,,147,,,other,,5.7,,147
M,,,5.6,624,,25,,,,,144,,,other,,5.6,,144
S,,,5.5,657,,25,,,,,140,,,BCC,,5.5,139,140
S,,,5.4,644,,25,,,,,138,,,BCC,,5.4,136,138
M,,,6.8,407,,25,,,,,172,,,other,,6.8,,172
S,,,8.2,134,,25,,,,,206,,,FCC,,8.2,208,206
S,AC,,8.3,172,,25,,,,,214,,,FCC,CAST,8.3,215,214
S,AC,,7.4,,C,25,1272,1272,2,0,77,,,FCC,CAST,7.4,185,185
S,AC,,7.8,,C,25,700,1650,22,21.6,99,,,FCC,CAST,7.8,194,194
M,AC,,7.6,,C,25,1042,1848,3,2.11,128,,,other,CAST,7.6,,128
,AC,,7.7,415,,25,,,,,,,,other,CAST,7.5,,
,AC,,7.7,505,,25,,,,,,,,other,CAST,7.3,,
,AC,,7.8,736,,25,,,,,,,,other,CAST,7.1,,
,AC,,7.6,300,,25,,,,,193,,,other,CAST,7.6,,193
S,AC,,7.6,225,,25,,,,,193,,,FCC,CAST,7.6,189,193
M,AC,,7,636,,25,,,,,,,,other,CAST,7,,
S,AC,,7.5,272,,25,,,,,191,,,FCC,CAST,7.5,185,191
S,AC,,7.3,321,,25,,,,,188,,,FCC,CAST,7.3,182,188
M,AC,,7.2,458,,25,,,,,186,,,other,CAST,7.2,,186
M,AC,,7.1,590,,25,,,,,184,,,other,CAST,7.1,,184
M,AC,,6.9,646,,25,,,,,,,,other,CAST,6.9,,
M,AC,,6.8,664,,25,,,,,,,,other,CAST,6.8,,
M,AC,,6.7,657,,25,,,,,,,,other,CAST,6.7,,
M,AC,,6.6,667,,25,,,,,,,,other,CAST,6.6,,
M,AC,,6.5,696,,25,,,,,,,,other,CAST,6.5,,
